Name,dtype,Num Non-Null,Num Unique
Hospitalization Required,object,163,3
Clinical Response after Neoadjuvant Treatment,object,774,4
Post-Treatment T-stage by MRI,object,344,8
Post-Treatment N-stage by MRI,object,342,9
Post-Treatment M-Stage by MRI,object,291,3
Post-Treatment AJCC 8th Edition Staging by MRI,object,330,10
Post-Treatment T-Stage by ERUS,object,21,5
Number of Mesorectal Nodes by MRI_Post,object,300,14
Number of Mesorectal Nodes by ERUS_Post,float64,17,3
Number of Retroperitoneal Nodes by CT_Post,object,228,7
Number of Retroperitoneal Nodes by MRI_Post,float64,251,6
Number of Retroperitoneal Nodes by PET-CT_Post,object,60,5
Number of Pelvic Nodes on CT_Post,float64,236,6
Number of Pelvic Nodes on MRI_Post,object,282,8
Number of Pelvic Nodes on PET-CT_Post,float64,59,5
Post-Treatment Tumor Diameter (cm),object,138,45
Post-Treatment Length of Tumor (cm),float64,222,63
Involvement of Pelvic Sidewall_Post,object,555,3
Distal Circumferential or Radial Margin (mm)_Post,object,136,17
Sphincter Involvement_Post,object,626,3
Invasion into Reproductive Organs_Post,object,652,3
Invasion into Bladder_Post,object,647,3
Invasion into Sacrum_Post,object,648,3
Invasion of Sacral Nerve Roots_Post,object,647,3
# Liver Segments Involved on Imaging,float64,87,10
# Lung Lesions on Imaging,object,121,13
Watch and Wait Protocol,object,34,3
Date of Surgery,object,1816,1189
Emergency Surgery,object,1807,3
Wound Class,object,1672,6
Re-Resection,object,1503,3
Palliative vs Curative Intent,object,1877,3
Indication for Palliative Resection,object,1877,7
CURRENT Tumor Category,object,1750,7
Type of Operation of Rectal Tumor,object,1790,9
Operative Approach,object,1742,8
Reason for Conversion to Open,object,1745,8
Distance from Anal Verge,float64,900,4
Distance from Sphincters,float64,200,23
Tumor Relationship to Peritoneal Reflection,object,1174,3
Involvement of Pelvic Sidewall_Op,object,1360,3
Ureteral Stents,object,1559,4
Intraoperative Radiation,object,1726,3
Mobilization of Splenic Flexure,object,1420,6
Location of Vessel Ligation,object,1194,3
Method of Vessel Transection,object,1152,5
Method of Rectal Transection,object,1185,7
Number of Staple Fires to Transect Rectum,object,377,5
Specimen Extraction Site,object,1626,3
Method of Anastomosis,object,1334,5
Leak Test Results,object,1477,4
Sphincter Preservation,object,1154,3
Anastomosis Distance from Sphincters (cm),float64,65,8
Anastomosis Distance from Anal Verge (cm),float64,101,14
Anal Canal,object,1183,3
Diverting Loop Ileostomy,object,1609,3
Additional Pelvic Nodes Resected,object,1424,7
Frozen Section Margin,object,1349,3
Frozen Margin Positive,object,198,3
"Margin 
Re-Resection",object,458,3
Operative Time (minutes),float64,1672,486
Intraop Drain Placement,object,1559,3
Type of Drainage System,object,1000,4
# of Drains,float64,1053,7
Type of Robot,object,48,3
Local Excision Approach,object,217,4
Portion of Sphincters Resected,object,184,5
Defect Closure,object,218,5
Peritoneal Perforation,object,195,5
Intervention for Peritoneal Perforation,object,4,3
Positive Margin Requiring Re-excision,object,192,4
Need for Radical Resection,object,185,4
Type of Anastomosis,float64,954,4
Intersphincteric Dissection,object,832,3
Colonic J-Pouch,object,863,3
Coloplasty,object,858,3
Omental Flap to Pelvis,object,865,4
Gracilis Flap to Pelvis,object,418,3
Transverse Rectus Abdominus Flap,object,415,3
Omental Flap to Pelvis_Op_APR,object,420,3
Small Bowel,object,1192,3
# Small Bowel Resections,float64,25,4
Adnexa,object,1185,3
Uterus,object,1184,3
Vagina,object,1185,3
Bladder,object,1194,3
Ureter,object,1194,3
Seminal Vesicles,object,1181,3
Prostate,object,1183,3
Sacrum,object,1188,6
Pelvic Exenteration,object,646,4
# Liver Lesions,object,130,12
Lesion Distribution,object,121,4
Lesions Resected,object,109,10
Wedge Resection,float64,79,6
Type of Resection,object,110,4
Ablation,object,119,3
Intraoperative Complication,object,1638,3
Type of Intraoperative Complication,object,72,42
EBL (mL),float64,1460,86
Intraop pRBC Transfusion,object,1617,3
Intraop pRBC Units,float64,740,10
Postop pRBC Transfusion,object,1601,3
Postop pRBC Units,float64,748,12
Intraop Crystalloid (ml),float64,1447,462
Intraop Albumin (ml),float64,1129,20
Intraop UOP (ml),float64,1323,253
Tumor Size (cm),float64,1473,99
Histopathologic Type,object,1699,11
T-Stage,object,1779,9
N-Stage,object,1777,8
AJCC Eighth Edition Stage,object,1779,11
TNM Grade,object,1326,4
Tumor Differentiation,object,1166,5
Depth of Invasion,object,1418,6
"# Lymph Nodes
Retrieved",float64,1750,54
# Lymph Node Positive,float64,1627,25
Lymphovascular Invasion (LVI),object,1531,4
Perineural Invasion (PNI),object,1536,4
Proximal Margin Distance (cm),object,708,212
Distal Margin Distance (cm),object,977,96
Radial Margin Distance (mm),object,777,77
Final Proximal Margin Status,object,1719,6
Final Distal Margin Status,object,1717,6
Final Radial Margin Status,object,1726,6
Final Primary Rectal Tumor Resection  Status,object,1700,4
Final LIVER Resection Status,object,87,4
Tumor Budding,object,1283,4
Necrosis,object,1283,4
Necrosis (%),float64,7,3
Treatment Effect (%),float64,123,11
Pathologic Response,object,1202,4
Mucinous,object,1284,4
Sphincter Involvement_Histopathology,object,1279,3
Other Organ Involvement,object,122,3
Organs Invaded,object,102,50
Completeness of TME,object,1221,4
Specimen Integrity,object,1597,3
Specimen Pinned,object,148,3
Additional Pathologic Findings,object,118,5
MSI Results,object,1361,3
KRAS Status,object,1020,4
BRAF Status,object,998,4
APC Status,object,948,4
P53 Status,object,946,4
MLH1 Status,object,1284,4
MSH2 Status,object,1348,4
MSH6 Status,object,1349,4
PMS2 Status,object,1344,4
T-Stage_Recurrence,object,48,9
N-Stage_Recurrence,object,48,9
M-Stage,object,49,3
Type of Operation of Rectal Tumor_Recurrence,object,49,5
Method of Total Mesorectal Excision,object,43,7
Distal Margin Distance (cm)_Recurrence,float64,23,4
Radial Margin Distance (mm)_Recurrence,float64,21,4
ERAS Protocol,object,1761,3
Return of Bowel Function,object,800,8
Any Complication,object,1620,3
Total # of Complications,float64,772,10
Highest Clavien-Dindo Grade,object,761,8
Minor vs Major Complication,object,1590,4
Superficial Surgical  Site Infection,object,1590,3
Deep Surgical Site Infection,object,1588,3
Intraabdominal Infection/Abscess,object,1507,3
Post-op Drainage Procedure,object,1495,3
Bleeding,object,1133,3
CVA,object,1500,3
Myocardial Infarction,object,1500,3
Pneumonia,object,1501,3
Deep Venous Thrombosis,object,1501,3
Pulmonary Embolus,object,1500,3
Respiratory Failure,object,1499,3
Tracheostomy,object,1496,3
Parenteral Nutrition,object,1231,3
Anastomotic Leak,object,912,3
Date of Diagnosis_PostOp_Leak,object,60,61
Method of Leak Diagnosis,object,54,6
Intervention Required,object,63,5
Date of Intervention,object,51,52
Type of Intervention,object,44,10
Ostomy Reversed after Resolution of Leak,object,43,5
Date of Drain Removal,object,803,671
Time to Drain Removal (days),float64,801,53
Acute Renal Failure_PostOp,object,1539,3
Peak Post-op Creatinine (mg/dL),float64,790,135
Temporary Dialysis,object,1511,3
Permanent Dialysis,object,1511,3
Fecal Incontinence,object,36,4
Bladder Dysfunction,object,109,6
Sexual Dysfunction,object,41,4
Superficial Dehiscence,object,389,3
Deep Dehiscence,object,424,3
Associated Fistula,object,374,3
Perineal Hernia,object,374,3
Repair of Perineal Hernia,object,344,5
Small Bowel Injury,object,1074,3
Ureteral Injury,object,1074,3
Small Bowel Obstruction,object,1088,3
Ileus,object,1084,3
Incisional Hernia,object,1058,3
Date of Ileostomy Reversal,object,685,561
Time to Ileostomy Reversal (days),float64,685,260
Reoperation for any Complication,object,1556,3
Indication for Reoperation,object,211,7
Date of Reoperation,object,159,154
ICU Admission,object,1359,3
Date of ICU Admission,object,122,121
Date of ICU Discharge,object,119,119
LOS ICU Admission,float64,158,20
Date of Discharge,object,1593,1190
LOS (days),float64,1587,46
Discharge Destination,object,1575,5
Readmission,object,1604,3
Date of Readmission,object,420,381
Time to Readmission,object,403,5
Location of Readmission,object,370,3
Diagnosis at Readmission,object,403,146
Date of Discharge_Readmission,object,335,315
LOS Readmission,float64,335,26
Adjuvant Chemotherapy,object,1762,3
Adjuvant Chemo Regimen,object,879,139
Adjuvant Chemo Duration,object,663,57
Date of Initiation_AdjChemo,object,718,608
Date of Completion_AdjChemo,object,671,560
Adjuvant Chemo Treatment Completed,object,784,3
Adjuvant Chemoradiation,object,1754,4
Adjuvant Chemoradiation Duration,float64,39,20
Date of Initiation_AdjChemoRad,object,40,40
Date of Completion_AdjChemoRad,object,40,40
Adjuvant Chemoradiation Treatment Completed,object,48,3
Adjuvant Radiotherapy,object,1753,3
Grey (Gy),float64,10,8
Radiation Technique_AdjChemoRad,object,6,3
Date of Initiation_AdjRad,object,10,11
Date of Completion_AdjRad,object,9,10
Radiotherapy Complications,object,1,2
Delay in Adjuvant Treatment,object,525,3
Reason for Delay in Adjuvant Treatment,object,74,4
Date of Last Follow-up/Death,object,1813,1064
Disease Status,object,1797,6
Death,object,1785,3
Date of Death,object,332,304
Time to Death,object,340,5
Overall Survival (OS),float64,1806,1288
Surveillance by CT,object,1054,3
Surveillance by MRI,object,1083,3
Surveillance by EUS,object,1083,4
Surveillance by CEA ONLY,object,1086,3
Locoregional Surveillance Frequency,object,722,4
Distant Surveillance Frequency,object,693,4
Recurrence,object,1748,3
CEA Level (ng/mL) at Recurrence,object,166,107
Date of Recurrence,object,348,321
Recurrence Free Survival (months),float64,345,293
Multifocal Recurrence,object,327,3
Region of Recurrence,object,352,9
Rectal Wall,object,214,4
Mesorectum,object,193,4
Pelvis,object,135,9
Sacrum_Recurrence_Locoregional,object,194,4
Pelvic Sidewall,object,187,3
Bladder_Recurrence_Locoregional,object,188,3
Seminal Vesicles_Recurrence_Locoregional,object,183,3
Prostate_Recurrence_Locoregional,object,183,3
Vagina_Recurrence_Locoregional,object,183,4
Ureter_Recurrence_Locoregional,object,186,3
Regional LNs,object,194,4
Liver,object,268,4
Lung,object,274,4
Peritoneum,object,231,4
Ovary,object,218,2
Bone,object,231,4
Distant LNs,object,225,4
Chemotherapy,object,314,3
Chemotherapy Regimen,object,211,109
Radiation,float64,268,3
Grey (Gy)_Recurrence_Rad,float64,46,26
Ablation_Recurrence,object,169,3
Surgery,object,282,3
COMMENTS,object,382,370
